;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
11C: Tâmega e Sousa;894 &;85 &;182 &;0 &;47 &;579 &;1 &;878;158;103;0;37;580;0;1608;219;177;3;50;1159;0;903;219;133;9;29;513;0;1344;142;244;1;158;795;4;1098;229;106;3;126;633;1;1400;271;109;1;141;645;233;2944;288;291;2;427;1344;592;2699;540;278;0;284;913;684;2593;766;632;0;408;711;76;831;222;196;0;47;98;268;3754;906;826;2;368;629;1023;3013;773;704;0;314;348;874;4017;877;766;1;524;574;1275;3904;448;294;2;535;701;1924;
11D: Douro;233 &;122 &;71 &;2 &;25 &;11 &;2 &;266;138;76;14;13;25;0;436;255;112;9;37;19;4;377;219;120;11;14;9;4;339;170;107;8;19;19;16;547;227;214;21;26;38;21;775;430;158;23;41;114;9;1084;471;295;11;68;185;54;639;231;166;5;43;168;26;855;352;233;18;63;122;67;439;257;101;7;9;51;14;964;328;252;9;126;93;156;1399;606;275;15;126;140;237;1423;651;262;13;130;152;215;877;282;217;13;96;98;171;
11E: Terras de Trás-os-Montes;98 &;48 &;16 &;6 &;1 &;26 &;1 &;104;79;6;3;3;13;0;235;149;14;24;8;34;6;156;89;15;6;1;44;1;225;108;32;10;11;52;12;266;119;59;17;7;59;5;403;221;44;13;29;93;3;657;369;60;19;40;161;8;303;139;36;9;21;98;0;479;263;47;25;33;110;1;285;199;29;5;7;41;4;390;162;45;9;16;95;63;852;374;29;3;0;111;335;808;332;49;2;28;58;339;434;107;31;1;9;48;238;
191: Região de Aveiro;230 &;55 &;101 &;0 &;6 &;66 &;2 &;290;97;73;2;13;105;0;258;69;70;1;12;106;0;243;95;70;0;7;71;0;320;55;75;0;20;170;0;380;104;62;0;44;168;2;432;100;15;0;40;276;1;875;135;63;0;110;567;0;541;69;79;0;90;303;0;655;170;102;2;53;328;0;277;50;57;0;9;161;0;795;106;91;3;150;419;26;1017;311;109;0;157;435;5;1340;352;130;0;303;544;11;1226;44;94;0;56;814;218;
192: Região de Coimbra;163 &;49 &;92 &;1 &;1 &;20 &;0 &;277;94;151;5;3;24;0;449;165;221;5;13;45;0;167;75;54;12;2;24;0;246;105;95;5;6;35;0;356;159;118;10;13;55;1;309;163;77;4;5;52;8;799;266;315;4;90;102;22;487;201;171;12;35;68;0;651;322;144;16;32;114;23;396;187;126;1;11;69;2;901;331;325;15;38;170;22;1182;514;315;4;49;226;74;1078;495;268;14;32;214;55;932;231;215;17;77;225;167;
193: Região de Leiria;132 &;62 &;55 &;2 &;4 &;9 &;0 &;171;79;60;1;9;22;0;241;104;104;1;17;15;0;144;72;48;1;2;21;0;225;63;102;1;13;46;0;284;82;98;2;15;87;0;230;87;48;0;4;91;0;460;118;135;2;37;164;4;321;79;100;4;11;127;0;457;176;82;1;37;150;11;211;99;36;5;8;62;1;413;163;97;0;25;127;1;681;265;101;2;91;221;1;580;217;31;3;51;253;25;435;195;46;7;33;151;3;
194: Viseu Dão Lafões;204 &;88 &;88 &;7 &;3 &;18 &;0 &;324;175;106;6;4;33;0;358;182;95;8;5;67;1;298;177;53;4;2;62;0;322;144;116;11;12;39;0;429;183;140;18;14;74;0;433;214;64;12;19;121;3;1086;249;329;22;166;268;52;574;123;134;6;131;179;1;704;183;170;15;132;201;3;372;117;138;2;34;81;0;1182;133;332;10;324;383;0;1308;393;332;11;281;291;0;1215;371;399;17;162;254;12;1404;274;472;15;380;255;8;
195: Beira Baixa;131 &;84 &;27 &;5 &;0 &;15 &;0 &;143;93;26;13;1;10;0;156;87;42;4;1;19;3;139;56;43;9;0;28;3;194;59;64;25;0;45;1;234;116;69;9;0;40;0;270;144;88;15;0;23;0;429;182;183;11;0;50;3;279;85;155;8;0;30;1;338;161;111;12;0;48;6;181;99;56;6;0;19;1;248;94;97;5;1;49;2;321;128;50;5;2;132;4;280;76;77;9;4;107;7;295;63;42;8;3;179;0;
196: Beiras e Serra da Estrela;217 &;116 &;73 &;5 &;0 &;23 &;0 &;255;134;63;20;1;37;0;433;213;104;32;8;76;0;282;153;55;23;3;46;2;373;186;89;18;10;70;0;457;195;117;34;6;105;0;360;203;47;26;16;68;0;775;392;137;5;37;202;2;489;199;113;15;30;130;2;699;326;101;29;40;201;2;470;213;115;9;16;111;6;723;305;177;20;34;185;2;912;467;188;7;27;219;4;922;471;172;6;39;212;22;968;509;80;25;46;286;22;
1D1: Oeste;147 &;82 &;51 &;0 &;2 &;9 &;3 &;342;79;106;0;5;66;86;304;48;37;1;0;133;85;330;70;18;0;2;141;99;302;63;77;1;5;135;21;465;78;99;0;14;221;53;469;47;37;0;3;189;193;989;39;7;0;7;789;147;728;34;7;0;2;479;206;992;168;20;0;3;542;259;517;100;10;0;4;377;26;828;178;13;0;3;417;217;1200;114;35;0;13;888;150;1514;213;22;0;19;1196;64;950;212;25;0;11;685;17;
1D2: Médio Tejo;232 &;92 &;111 &;3 &;3 &;23 &;0 &;240;113;99;1;4;23;0;292;116;124;1;18;33;0;229;104;104;6;2;13;0;315;107;166;5;11;26;0;333;140;152;0;9;32;0;360;188;139;1;3;29;0;599;215;302;5;29;39;9;381;165;173;2;10;23;8;488;203;223;3;18;38;3;270;122;115;2;3;28;0;386;139;207;3;4;32;1;556;147;200;0;2;93;114;399;77;155;1;6;37;123;468;123;145;1;6;35;158;
1D3: Lezíria do Tejo;229 &;141 &;41 &;1 &;1 &;45 &;0 &;247;141;50;0;1;55;0;300;144;58;0;2;74;22;298;173;23;0;1;99;2;315;137;52;5;6;113;2;456;209;75;2;3;152;15;334;184;52;2;4;81;11;506;200;96;2;7;153;48;489;189;87;1;3;178;31;665;281;122;6;8;220;28;375;114;25;2;3;228;3;535;155;89;0;6;276;9;770;192;118;0;5;424;31;544;120;54;0;8;227;135;489;20;43;0;4;83;339;
1A0: Grande Lisboa;98 &;69 &;1 &;0 &;4 &;23 &;1 &;225;30;0;0;7;187;1;237;21;1;0;11;194;10;408;21;2;0;0;348;37;368;25;6;2;0;311;24;541;44;8;1;2;339;147;593;64;0;0;5;360;164;631;69;5;2;4;373;178;534;29;4;0;1;340;160;988;23;0;0;1;550;414;664;13;3;0;4;547;97;1108;27;2;0;2;532;545;910;156;3;0;15;377;359;982;93;18;0;8;647;216;1206;21;8;0;2;1062;113;
1B0: Península de Setúbal;131 &;60 &;22 &;0 &;0 &;45 &;4 &;204;96;23;0;11;74;0;237;70;9;0;2;156;0;401;116;17;0;2;266;0;271;56;6;2;2;176;29;292;60;3;2;1;177;49;328;64;1;0;0;112;151;603;50;7;0;0;223;323;657;50;33;0;8;223;343;867;137;25;0;4;451;250;485;77;28;0;5;283;92;787;114;21;0;15;406;231;836;123;9;0;1;237;466;786;88;25;0;7;331;335;837;52;15;0;7;90;673;
1C1: Alentejo Litoral;110 &;41 &;6 &;1 &;0 &;61 &;1 &;98;47;0;2;2;47;0;105;52;1;2;0;50;0;137;81;2;1;2;51;0;106;63;4;2;1;36;0;153;78;6;0;2;66;1;100;42;0;2;0;55;1;172;68;0;0;0;104;0;186;64;3;0;2;113;4;205;77;19;1;5;100;3;122;61;5;1;1;52;2;162;81;4;0;0;76;1;193;70;18;0;6;96;3;143;70;2;0;4;55;12;164;52;2;0;1;56;53;
1C2: Baixo Alentejo;166 &;81 &;35 &;1 &;0 &;49 &;0 &;156;101;15;0;0;40;0;190;85;37;3;0;65;0;260;111;55;4;0;90;0;208;82;62;0;0;64;0;338;121;105;5;2;105;0;208;71;55;3;0;79;0;299;124;27;5;2;141;0;203;64;47;2;1;89;0;288;84;73;10;1;119;1;271;133;78;3;0;53;4;354;95;27;2;1;159;70;273;61;26;1;1;132;52;317;77;10;3;6;147;74;294;54;4;4;6;46;180;
1C3: Alto Alentejo;160 &;106 &;3 &;2 &;3 &;46 &;0 &;145;105;9;2;3;26;0;166;130;3;3;2;28;0;192;149;11;6;1;25;0;189;140;19;9;1;20;0;289;221;21;1;5;40;1;227;144;20;15;1;43;4;344;217;44;28;4;51;0;237;154;34;2;0;46;1;316;197;41;3;3;72;0;208;128;25;4;1;50;0;256;112;34;0;0;90;20;313;132;23;0;2;127;29;308;99;12;4;1;164;28;296;95;7;4;3;150;37;
1C4: Alentejo Central;170 &;59 &;25 &;0 &;2 &;84 &;0 &;142;37;9;0;2;94;0;181;57;4;2;2;116;0;213;106;7;3;3;94;0;167;51;2;2;0;112;0;312;90;2;1;9;210;0;159;51;0;7;0;101;0;285;99;2;7;6;171;0;202;64;1;2;3;132;0;250;111;2;1;1;135;0;179;75;2;0;2;100;0;198;83;7;1;0;107;0;369;98;3;0;2;263;3;216;87;9;0;0;91;29;352;83;2;2;12;167;86;
150: Algarve;175 &;86 &;24 &;1 &;0 &;64 &;0 &;275;139;25;0;1;110;0;211;109;39;1;3;59;0;299;178;40;0;1;80;0;209;101;35;0;0;73;0;417;208;64;0;1;144;0;354;196;29;1;1;127;0;394;169;33;1;3;188;0;274;131;31;0;2;109;1;404;189;33;2;3;161;16;345;209;14;1;6;115;0;453;231;26;1;1;194;0;574;132;20;0;3;119;300;440;75;3;0;2;129;231;376;56;1;0;0;119;200;
2: Região Autónoma dos Açores;0 &;0 &;0 &;0 &;0 &;0 &;0 &;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20: Região Autónoma dos Açores;0 &;0 &;0 &;0 &;0 &;0 &;0 &;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200: Região Autónoma dos Açores;0 &;0 &;0 &;0 &;0 &;0 &;0 &;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
