;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
11C: Tâmega e Sousa;894 &;744 &;90 &;16 &;16 &;10 &;9 &;3 &;6 &;879;748;100;9;15;4;3;0;0;1608;1350;190;30;17;10;10;0;1;903;767;109;14;10;2;1;0;0;1344;1163;141;20;11;4;5;0;0;1098;969;97;11;8;8;3;2;0;1400;1250;135;6;6;2;1;0;0;2945;2449;391;29;36;16;20;4;0;2699;2140;429;43;36;15;28;7;1;2594;2119;422;22;22;5;4;0;0;831;750;74;2;2;1;1;1;0;3754;3005;607;47;46;19;24;5;1;3013;2516;431;32;20;8;6;0;0;4017;3419;543;24;15;8;8;0;0;3904;3348;475;30;21;14;12;4;0;
11D: Douro;233 &;189 &;29 &;5 &;3 &;2 &;4 &;0 &;1 &;266;213;41;5;5;0;2;0;0;436;337;77;1;6;5;7;0;3;377;293;62;6;8;5;3;0;0;339;278;39;6;5;4;3;2;2;547;443;75;7;8;5;7;2;0;776;655;103;8;7;2;1;0;0;1084;755;225;28;22;15;26;4;9;639;426;153;22;10;15;12;0;1;856;609;188;19;25;4;10;1;0;439;339;74;8;8;6;4;0;0;964;726;168;10;22;12;20;2;4;1399;948;358;26;43;11;10;2;1;1423;982;357;32;23;13;11;3;2;878;670;160;8;15;10;11;1;3;
11E: Terras de Trás-os-Montes;98 &;63 &;27 &;2 &;1 &;1 &;2 &;1 &;1 &;104;66;30;5;1;0;1;0;1;235;147;60;12;9;4;2;1;0;156;107;42;2;3;0;2;0;0;225;149;57;4;6;3;4;1;1;266;164;75;13;8;2;4;0;0;403;267;115;8;8;2;2;1;0;657;391;197;31;11;12;11;2;2;304;215;75;7;3;1;3;0;0;479;304;124;26;15;3;5;2;0;285;199;70;1;11;0;4;0;0;390;236;116;8;10;8;7;3;2;852;449;300;42;24;14;19;3;1;808;465;261;39;18;13;11;0;1;435;277;128;10;12;3;4;1;0;
191: Região de Aveiro;230 &;216 &;11 &;0 &;0 &;0 &;1 &;0 &;2 &;290;271;12;4;2;1;0;0;0;258;246;10;0;1;0;1;0;0;243;236;7;0;0;0;0;0;0;320;309;9;0;1;1;0;0;0;380;356;15;2;1;2;2;1;1;432;411;20;1;0;0;0;0;0;876;819;40;6;3;1;6;0;1;541;491;38;5;0;1;3;0;3;656;631;23;0;0;1;0;0;1;277;271;5;1;0;0;0;0;0;796;739;47;6;1;0;2;1;0;1017;962;48;1;3;1;1;1;0;1341;1264;61;4;8;4;0;0;0;1227;1164;54;2;4;2;1;0;0;
192: Região de Coimbra;163 &;157 &;4 &;0 &;0 &;0 &;2 &;0 &;0 &;277;262;12;0;2;0;1;0;0;449;414;29;1;1;2;1;0;1;167;161;6;0;0;0;0;0;0;246;229;15;1;0;0;1;0;0;356;343;10;0;1;1;0;1;0;309;294;15;0;0;0;0;0;0;800;724;44;6;2;6;7;3;8;487;454;24;0;1;4;3;0;1;652;590;50;2;4;1;4;1;0;396;368;23;2;1;1;0;0;1;901;852;36;3;2;2;4;1;1;1182;1069;85;3;8;5;9;3;0;1078;1006;62;0;8;2;0;0;0;932;850;68;7;4;1;1;1;0;
193: Região de Leiria;132 &;117 &;9 &;1 &;3 &;2 &;0 &;0 &;0 &;171;153;10;3;1;1;3;0;0;241;216;15;2;5;0;1;0;2;144;135;9;0;0;0;0;0;0;225;216;6;0;1;0;0;1;1;284;260;17;1;4;2;0;0;0;230;220;10;0;0;0;0;0;0;460;415;33;2;2;2;3;0;3;321;299;19;0;0;0;2;1;0;457;424;30;0;1;1;0;1;0;211;200;11;0;0;0;0;0;0;414;381;22;0;5;2;3;0;1;681;606;60;3;5;3;3;1;0;580;542;30;1;2;1;3;1;0;435;408;23;1;1;0;1;1;0;
194: Viseu Dão Lafões;204 &;177 &;15 &;0 &;4 &;2 &;0 &;1 &;5 &;324;276;33;4;8;2;0;0;1;358;295;51;5;4;2;1;0;0;298;240;40;7;4;6;1;0;0;322;288;27;1;3;0;2;0;1;429;370;45;5;4;0;5;0;0;433;384;45;3;1;0;0;0;0;1086;861;159;17;21;9;11;3;5;574;435;96;16;12;6;7;2;0;704;569;113;8;4;3;3;4;0;372;322;40;3;4;1;2;0;0;1182;923;188;17;19;10;15;1;9;1308;1026;226;16;13;9;15;1;2;1215;962;208;17;14;10;2;2;0;1405;1145;210;12;11;11;12;1;3;
195: Beira Baixa;131 &;110 &;16 &;2 &;1 &;1 &;1 &;0 &;0 &;143;129;7;2;3;0;1;0;1;156;136;17;0;3;0;0;0;0;139;121;14;0;4;0;0;0;0;194;159;25;3;2;1;1;1;2;234;185;38;1;3;2;3;1;1;270;243;20;4;3;0;0;0;0;429;350;51;3;4;5;5;2;9;279;242;24;6;3;0;2;1;1;338;285;37;6;6;2;1;1;0;181;151;23;2;4;1;0;0;0;248;212;29;1;2;4;0;0;0;321;274;37;4;3;0;3;0;0;280;235;36;1;3;1;2;1;1;295;252;34;1;3;4;1;0;0;
196: Beiras e Serra da Estrela;217 &;169 &;30 &;6 &;7 &;3 &;1 &;1 &;0 &;255;213;24;8;4;5;1;0;0;433;322;66;13;14;7;3;6;2;282;218;49;8;4;0;3;0;0;373;281;70;6;2;5;6;2;1;457;357;70;6;11;7;5;1;0;362;276;65;6;9;3;2;1;0;776;542;142;21;22;10;18;7;14;489;341;85;15;13;9;16;8;2;699;474;159;25;21;8;6;3;3;470;312;117;11;13;10;6;0;1;723;494;165;26;19;5;6;4;4;912;539;269;34;40;16;12;0;2;922;584;235;23;32;21;23;3;1;968;656;249;14;15;7;16;3;8;
1D1: Oeste;147 &;137 &;10 &;0 &;0 &;0 &;0 &;0 &;0 &;342;308;27;2;4;0;1;0;0;304;275;25;1;1;0;1;1;0;330;296;33;1;0;0;0;0;0;302;269;30;2;1;0;0;0;0;465;407;51;4;2;0;1;0;0;469;424;45;0;0;0;0;0;0;989;852;116;11;6;0;2;0;2;728;618;100;8;1;1;0;0;0;993;830;151;7;3;1;1;0;0;517;465;50;2;0;0;0;0;0;828;702;122;2;1;0;1;0;0;1200;1002;187;1;4;1;4;1;0;1514;1255;244;9;5;1;0;0;0;950;842;103;4;1;0;0;0;0;
